"gene","log2FoldChange","lfcSE","pvalue","padj","padj_manual"
"638247",-0.0871261997148661,0.223773789757334,0.687350307932944,0.754392177818974,0.754392177818974
"259301",0.206220059432934,0.664046570394015,0.687504578036827,0.754511397885324,0.754511397885324
"18575",0.206539637591144,0.76592495509875,0.687554268400545,0.754515837260905,0.754515837260905
"384525",0.208470495114011,0.699091439387111,0.687643518302022,0.754563685444266,0.754563685444266
"100216536",0.196239790280657,0.601097489618813,0.687976588464721,0.754879057903873,0.754879057903873
"77045",0.111235256295612,0.286746809354527,0.688168404382286,0.755039408233054,0.755039408233054
"100637",0.130752138674419,0.341569576546965,0.688230733142665,0.755057676966102,0.755057676966102
"629595",-0.0482314954466792,0.129440516252994,0.688367157423112,0.755157228046459,0.755157228046459
"76485",-0.0623532928844886,0.152500917039279,0.68860971612373,0.755323066192784,0.755323066192784
"223753",0.101814267466187,0.261768165113173,0.688587836851615,0.755323066192784,0.755323066192784
"69710",0.0617912017607809,0.154241457891455,0.688987162116248,0.755686934495494,0.755686934495494
"100503055",0.167955885016913,0.468249702721671,0.689304509038204,0.755930372891906,0.755930372891906
